yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Age,VisitFrequency,Gender,GMM_Cluster,GMM_Max_Probability
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,20,Once a month,Male,5,0.9999999999999432
Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,+4,41,Once a month,Female,6,0.9999956854749937
No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,+4,70,Once a month,Male,0,0.9999999859812309
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+4,54,Once a month,Female,1,1.0
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,+3,23,Once a month,Male,0,0.9999979790412905
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+2,61,Once a month,Female,6,0.9999999999995026
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+1,52,Once a week,Female,0,0.999999999884948
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,61,Once a week,Female,6,0.9999999999995985
No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,-2,66,Every three months,Female,4,0.9999985935180412
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,40,Once a month,Female,5,0.9999999997524398
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I love it!+5,26,Never,Male,1,1.0
No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,+2,32,Once a month,Male,0,0.9999999999999982
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-2,60,Every three months,Male,5,0.9999999999999432
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,38,Once a month,Male,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,29,Every three months,Male,5,0.9999999997524398
No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,I hate it!-5,69,Never,Male,2,0.9999902517820305
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,64,Once a year,Male,7,0.9999742942287393
No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,I hate it!-5,40,Never,Male,7,0.9999594009115814
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,42,Once a month,Male,5,0.9999999997524398
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I hate it!-5,64,Once a month,Female,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,I love it!+5,22,Once a week,Male,0,0.9999979790412905
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,57,Every three months,Female,5,0.9999999999999432
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+2,28,Every three months,Female,5,0.9999999997524398
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,41,Once a month,Female,6,0.9999999999995985
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,0,56,More than once a week,Male,5,0.9999999837365473
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,50,Once a month,Female,6,0.9999999999995026
No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,I hate it!-5,68,Never,Male,2,0.9999999999846132
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,I hate it!-5,62,Once a year,Male,0,0.9999999868775379
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,58,Every three months,Female,5,0.9999999999999432
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,47,More than once a week,Male,6,0.9999999999995026
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,+3,35,Once a month,Female,6,0.9999999091818387
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,+4,58,Once a month,Male,5,0.9998067464186979
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,21,Once a week,Female,5,0.9999999999999432
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,53,Every three months,Female,6,0.9999999999995985
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,38,Once a month,Female,6,0.9999999999995985
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,I love it!+5,59,Once a month,Male,5,0.9999828688197381
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+4,39,Once a week,Female,5,0.9999999997524398
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,+2,36,Every three months,Female,5,0.9999999999999858
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,26,More than once a week,Female,5,0.9999999999999432
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,-1,53,Once a week,Male,0,0.999999999884948
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,64,Once a month,Female,6,0.9999999999995026
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,-3,56,Every three months,Female,0,0.9999999996215001
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,I hate it!-5,65,Never,Male,2,0.9998026921367879
No,No,No,No,Yes,No,No,No,No,No,Yes,I hate it!-5,40,Never,Male,3,1.0
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,68,Once a month,Male,6,0.9999999999995026
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,65,More than once a week,Male,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,52,Once a month,Female,5,0.9999999999999432
No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,-4,37,Once a year,Female,4,0.9999999999993499
No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,I hate it!-5,32,Once a year,Male,2,1.0
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,51,Once a week,Female,5,0.9998067464186979
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+3,52,Every three months,Female,1,1.0
Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,+4,57,Every three months,Female,6,0.9999999898062732
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,55,Every three months,Female,6,0.9999999999995985
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,38,Once a month,Female,0,0.999999999884948
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,44,Once a week,Female,7,0.9999742942287393
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,56,Once a year,Female,5,0.9999828688197381
No,Yes,No,Yes,Yes,No,No,No,No,No,No,+1,67,Once a year,Female,3,0.9999946352887096
Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,+3,43,Once a month,Female,6,0.9999999999958362
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,39,Every three months,Male,4,1.0
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,27,Once a week,Female,5,0.9999999999999432
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,+1,29,Once a year,Female,5,0.9999999999999858
No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,-1,24,Once a year,Male,7,0.9999995164984511
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,37,Every three months,Male,2,0.999986387260939
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,+1,22,Once a month,Female,5,0.9999999881271472
No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,-2,55,Never,Female,0,0.9999999700447257
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,50,Once a year,Male,7,0.9999742942287393
Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,+1,26,Once a month,Male,6,0.999862646644453
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,55,Every three months,Female,4,1.0
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,48,Once a month,Female,5,0.9999682912511245
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+4,25,Once a week,Female,5,0.9999828688197381
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,+4,32,More than once a week,Male,5,0.9999999999997939
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,+1,28,Every three months,Female,2,0.999986387260939
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-1,52,Once a year,Female,4,0.9999997067537126
Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+1,30,Once a week,Male,5,1.0
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,-2,52,Once a year,Female,5,0.9999682912511245
Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+4,55,Once a month,Female,6,0.9999999999999218
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,35,Once a year,Female,2,0.9999999440098131
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,29,Once a week,Male,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,55,Once a year,Male,5,0.9999999999999432
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+1,50,Every three months,Female,7,0.9999999999087699
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,34,Once a week,Male,7,0.9999448130082607
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,59,Never,Female,4,1.0
Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,+4,40,Once a week,Male,6,0.9999998819589989
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,39,Once a month,Female,5,0.9999682912511245
No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,0,46,Every three months,Female,7,0.9999999993686841
Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,I love it!+5,25,Once a week,Male,6,0.999999999999833
No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-3,48,Every three months,Male,3,0.9999999991009716
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,56,Once a week,Female,5,0.9999682912511245
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-3,46,Once a year,Female,7,0.9999448130082607
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,44,Once a week,Male,6,0.9999999999990443
No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,I hate it!-5,55,Once a year,Female,4,0.9999999999999947
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,63,More than once a week,Male,5,0.9999999999999432
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,58,Every three months,Male,0,0.9999995429955538
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,18,Once a month,Male,5,0.9999999999999432
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,60,Every three months,Male,0,0.999999999884948
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,I hate it!-5,63,Once a year,Female,4,0.9999997067537126
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,30,Once a month,Female,5,0.9999999999999432
No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,I hate it!-5,67,Never,Female,3,0.999999959026078
No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,I hate it!-5,65,Never,Female,2,0.9999902517820305
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+3,61,Once a month,Female,1,1.0
No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+2,52,Once a week,Male,4,0.9999999999999964
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-3,23,Once a year,Female,5,0.9999999997524398
No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-4,41,Every three months,Female,3,0.9999999991009716
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,57,Every three months,Male,5,0.9999999999991047
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,46,Once a year,Female,4,0.9999997067537126
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-2,36,Every three months,Male,5,0.9999999997524398
No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,I hate it!-5,54,Never,Male,2,1.0
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,37,Once a month,Male,5,0.9999999999999432
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,33,Once a week,Female,5,0.9999999999999432
Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,+3,26,Once a week,Male,1,1.0
Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,+4,27,Once a week,Male,6,0.9999996177865251
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,I hate it!-5,34,Once a year,Male,4,0.9999991978184772
Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,+2,49,Once a month,Male,6,0.9999999999999041
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,34,Once a week,Female,6,0.9999999999995985
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,+3,37,Once a month,Female,7,0.9999448130082607
No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,-4,62,Once a year,Male,7,1.0
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+2,54,Once a month,Male,4,0.9999997067537126
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-3,37,Once a year,Female,1,1.0
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,57,Every three months,Male,5,0.9999999999996625
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-1,48,Every three months,Male,3,0.999999999999595
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,59,Never,Female,7,0.9999448130082607
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+4,52,Once a month,Female,6,0.9999999999995985
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,36,Every three months,Female,7,0.9999999978343652
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-3,35,Every three months,Male,7,0.9999742942287393
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,43,Once a year,Male,2,0.999986387260939
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-4,60,Never,Female,4,0.9999991978184772
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-3,32,Never,Female,7,0.9999742942287393
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,62,Once a week,Male,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+4,45,Once a month,Male,5,0.9999999997524398
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,45,Once a month,Male,5,0.9999682912511245
No,No,No,No,No,No,No,No,Yes,No,Yes,I hate it!-5,34,Once a month,Male,3,0.9999999999682139
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,I hate it!-5,55,Once a year,Male,4,0.9999991978184772
No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,-1,36,Every three months,Male,4,0.9999999999999414
No,Yes,No,No,No,Yes,Yes,No,No,No,No,0,29,Once a year,Male,4,0.9999999999996803
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,I hate it!-5,64,Once a month,Female,4,0.9999991978184772
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-3,66,Once a month,Female,4,0.9999997067537126
No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+3,49,Once a month,Female,4,0.9999999999999964
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,25,Every three months,Female,5,0.9999682912511245
No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+2,58,Once a month,Female,4,0.9999999999982343
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,56,Once a year,Female,4,1.0
Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,+3,29,Every three months,Female,6,0.9999999999999645
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,70,Once a year,Female,7,0.9999999978343652
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-3,37,Every three months,Female,7,0.9999448130082607
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,38,Once a week,Male,5,0.9999828688197381
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,0,59,Once a year,Female,6,0.9999999999995985
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-3,20,Every three months,Female,7,0.9999742942287393
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,69,Once a month,Female,6,0.9999999999995026
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,66,Once a month,Female,0,0.9999995429955538
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,53,Once a month,Female,4,1.0
No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,60,Never,Female,2,0.9999364419893985
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,38,Once a week,Female,5,0.9999682912511245
No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,0,34,Every three months,Female,3,0.9999999991009716
Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,+2,45,Every three months,Female,5,0.9999587716883961
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,30,Every three months,Male,5,0.9999682912511245
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,38,Never,Male,2,0.9999999440098131
Yes,Yes,No,No,No,Yes,No,No,No,No,No,+1,55,Once a month,Male,1,1.0
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+2,35,Once a month,Female,5,0.9999935367592383
No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,-3,49,Once a year,Female,4,0.9999999999998721
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,0,60,Once a year,Female,7,0.9999742942287393
No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,-2,48,Every three months,Female,7,1.0
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,43,Once a month,Female,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-4,39,Once a year,Male,5,0.9999999997524398
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,23,Once a week,Male,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,51,Once a month,Female,5,0.9999999999999432
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,21,Never,Female,7,0.9999448130082607
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,70,Once a year,Female,5,0.9999682912511245
No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,I hate it!-5,56,Once a year,Male,2,0.9999776649436288
No,No,No,Yes,No,No,No,No,Yes,No,Yes,-1,33,Once a year,Female,3,0.9999999999967564
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,58,Every three months,Male,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,+3,23,Once a month,Female,0,0.999999809540625
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,0,63,Every three months,Female,5,0.9998067464186979
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,33,Once a month,Female,5,0.9999828688197381
No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,+1,51,Once a year,Female,0,0.9999999999999974
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,I love it!+5,27,Once a month,Male,5,0.9999828688197381
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+2,51,Once a month,Male,6,0.9999999999995026
No,No,No,No,No,No,No,No,No,No,No,-3,69,Never,Male,3,1.0
Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+2,59,Every three months,Female,6,0.9999999999999218
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,40,Once a month,Male,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,20,Once a month,Female,5,0.9999999999999432
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,28,Never,Male,7,0.9999448130082607
Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,+1,31,Once a month,Male,0,0.999999809540625
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+2,32,Every three months,Female,5,0.9999999997524398
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+3,34,Once a week,Female,5,0.9999935367592383
No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,-3,62,Once a week,Male,2,0.9999999999846132
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,33,Every three months,Female,1,1.0
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,-1,51,Once a month,Female,0,0.9999999868775379
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,36,Every three months,Male,5,0.9999999999999432
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+4,22,Once a month,Female,5,0.9999935367592383
No,No,No,No,No,No,No,No,Yes,No,Yes,I hate it!-5,51,Never,Female,3,0.9999999999682139
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,I hate it!-5,42,Never,Male,0,0.9999999595346488
Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,+2,24,Once a month,Male,1,1.0
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,18,Once a month,Male,5,0.9999999997524398
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,26,Once a year,Female,7,0.9999448130082607
No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,0,57,Never,Male,7,0.9999999999999343
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+1,59,Once a week,Male,6,0.9999999999995985
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,0,38,Every three months,Female,5,0.9999999997524398
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,26,More than once a week,Female,5,0.9999999999999432
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+2,31,Once a month,Male,6,0.9999999999995985
Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,27,Once a year,Female,5,1.0
No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,-3,55,Never,Male,0,0.9999997331024036
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+4,47,More than once a week,Male,6,0.9999999999995026
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-4,52,Never,Male,3,0.999999999999595
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,58,Once a week,Male,6,0.9999999999995985
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,30,Every three months,Female,5,0.9999999999999432
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-1,38,Every three months,Female,5,0.9999999997524398
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,49,Once a week,Female,5,0.9999682912511245
Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,+3,37,Once a month,Male,5,1.0
Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,+3,39,Once a month,Male,5,0.9999999942662754
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,60,Once a week,Male,5,0.9999682912511245
Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,+3,50,Once a week,Male,6,0.9999999999999041
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,25,Once a week,Male,5,0.9999682912511245
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,64,Never,Male,7,0.9999448130082607
No,No,No,Yes,No,No,No,No,Yes,No,Yes,-3,62,Once a year,Male,3,0.9999999999967564
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,37,Once a year,Male,7,0.9999448130082607
Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,+2,68,Every three months,Male,0,0.9999975732362428
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,24,Once a month,Female,5,0.9999999999999432
Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,+1,26,Once a week,Male,1,1.0
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,+2,49,Once a month,Female,2,0.9998026921367879
No,Yes,No,No,No,No,No,No,Yes,No,No,-2,43,Once a week,Male,3,0.9999996218197258
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+4,53,Once a month,Female,5,0.9999999999991047
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,41,Once a month,Male,5,0.9999999999999432
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,35,Every three months,Female,7,0.9999448130082607
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,60,Never,Male,3,0.999999999999595
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,35,Once a week,Male,5,0.9999999999999432
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,0,54,Every three months,Male,2,0.999986387260939
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,+4,23,Once a week,Female,5,0.9999999999997939
No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,0,41,Once a year,Female,7,0.9999999945303113
No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,57,Once a year,Female,3,0.9999999991009716
No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,I hate it!-5,64,Never,Female,2,0.9999964614915633
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,59,Once a month,Female,5,0.9999999999999432
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,38,Once a month,Female,5,0.9999682912511245
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,66,Every three months,Male,4,1.0
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,49,Once a week,Female,5,0.9999682912511245
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,0,48,Every three months,Female,5,0.9999999837365473
No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,I hate it!-5,63,Once a year,Female,3,0.999999959026078
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,64,Every three months,Female,5,0.9999682912511245
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-1,56,Every three months,Female,7,0.9999742942287393
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,24,More than once a week,Female,5,0.9999682912511245
No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,0,57,Once a year,Female,2,0.9999964614915633
No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,-4,59,Once a year,Male,7,1.0
